circuito	autodeterminación y libertad	frente de izquierda y de trabajadores - unidad	frente de todos	juntos por el cambio	la libertad avanza	suma	jxc_g_fdt	dif_jxc_fdt	p_autodeterminación y libertad	p_frente de izquierda y de trabajadores - unidad	p_frente de todos	p_juntos por el cambio	p_la libertad avanza
1	258	943	3110	3233	1306	8850	TRUE	123	0.029152542	0.106553672	0.351412429	0.365310734	0.147570621
2	245	835	2754	2424	1067	7325	FALSE	330	0.033447099	0.113993174	0.375972696	0.330921502	0.145665529
3	23	45	187	1164	392	1811	TRUE	977	0.012700166	0.02484815	0.103257869	0.642738818	0.216454997
4	14	23	132	965	273	1407	TRUE	833	0.009950249	0.016346837	0.093816631	0.685856432	0.194029851
5	90	590	3180	1622	1041	6523	FALSE	1558	0.013797333	0.09044918	0.487505749	0.248658593	0.159589146
6	119	297	920	7488	2193	11017	TRUE	6568	0.010801489	0.026958337	0.083507307	0.679676863	0.199056004
7	103	244	678	3581	1109	5715	TRUE	2903	0.018022747	0.042694663	0.118635171	0.626596675	0.194050744
8	106	271	893	2908	1052	5230	TRUE	2015	0.020267686	0.051816444	0.170745698	0.556022945	0.201147228
9	150	370	1297	3544	1456	6817	TRUE	2247	0.022003814	0.054276075	0.190259645	0.519876779	0.213583688
10	200	502	1648	3982	1485	7817	TRUE	2334	0.025585263	0.06421901	0.210822566	0.509402584	0.189970577
11	246	621	2186	3429	1466	7948	TRUE	1243	0.030951183	0.078132864	0.275037745	0.43142929	0.184448918
12	199	614	1966	3282	1276	7337	TRUE	1316	0.027122802	0.08368543	0.267956931	0.447321794	0.173913043
13	264	705	2371	3487	1394	8221	TRUE	1116	0.032112882	0.085755991	0.288407736	0.424157645	0.169565746
14	95	186	884	1489	677	3331	TRUE	605	0.028519964	0.055839087	0.26538577	0.447012909	0.20324227
15	217	538	1900	2441	1036	6132	TRUE	541	0.035388128	0.087736464	0.309849967	0.398075669	0.168949772
16	166	534	1810	2390	974	5874	TRUE	580	0.028260129	0.090909091	0.308137555	0.406877766	0.165815458
17	301	794	2797	3666	1498	9056	TRUE	869	0.033237633	0.087676678	0.308856007	0.404814488	0.165415194
18	157	429	1737	2011	964	5298	TRUE	274	0.029633824	0.080973952	0.32785957	0.379577199	0.181955455
19	228	658	2643	2664	1300	7493	TRUE	21	0.0304284	0.087815294	0.352729214	0.35553183	0.173495262
20	65	246	971	3560	1059	5901	TRUE	2589	0.011015082	0.04168785	0.164548382	0.603287578	0.179461108
21	100	307	786	7053	2029	10275	TRUE	6267	0.00973236	0.029878345	0.07649635	0.686423358	0.197469586
22	255	682	1614	6792	1759	11102	TRUE	5178	0.022968834	0.061430373	0.145379211	0.611781661	0.158439921
23	306	796	2144	8447	2316	14009	TRUE	6303	0.021843101	0.056820615	0.153044471	0.60296952	0.165322293
24	168	394	1104	5779	1677	9122	TRUE	4675	0.018417014	0.043192282	0.121026091	0.63352335	0.183841263
25	118	330	952	6057	1662	9119	TRUE	5105	0.012940015	0.036188179	0.104397412	0.664217568	0.182256826
26	160	395	1130	7706	2347	11738	TRUE	6576	0.013630942	0.033651389	0.09626853	0.656500256	0.199948884
27	174	554	1462	5311	1561	9062	TRUE	3849	0.019201059	0.061134407	0.161333039	0.586073714	0.17225778
28	300	892	2482	6766	2095	12535	TRUE	4284	0.023932988	0.07116075	0.198005584	0.539768648	0.16713203
29	208	642	1598	4576	1266	8290	TRUE	2978	0.02509047	0.077442702	0.192762364	0.55199035	0.152714113
30	213	599	1672	3819	1372	7675	TRUE	2147	0.027752443	0.078045603	0.217850163	0.497589577	0.178762215
31	223	600	1827	4011	1471	8132	TRUE	2184	0.027422528	0.073782587	0.224667978	0.493236596	0.18089031
32	249	669	1905	3720	1353	7896	TRUE	1815	0.031534954	0.084726444	0.241261398	0.47112462	0.171352584
33	184	528	1593	2747	1167	6219	TRUE	1154	0.02958675	0.08490111	0.256150507	0.441710886	0.187650748
34	295	808	2429	4196	1675	9403	TRUE	1767	0.031372966	0.085930022	0.258321812	0.446240562	0.178134638
35	259	826	2438	3426	1512	8461	TRUE	988	0.030611039	0.097624394	0.288145609	0.404916677	0.178702281
