circuito_n	electores
1	20521
2	14545
3	2629
4	1998
5	13914
6	17818
7	10983
8	8536
9	11330
10	13188
11	13971
12	14738
13	12930
14	5813
15	13636
16	11924
17	18550
18	11612
19	13455
20	11690
21	21571
22	15781
23	19790
24	12881
25	13043
26	16884
27	16611
28	19352
29	12444
30	14818
31	14751
32	16620
33	10692
34	15168
35	12859
36	13903
37	11926
38	14589
39	14623
40	16722
41	21934
42	19043
43	12083
44	13419
45	9594
46	10626
47	17004
48	21189
49	11844
50	15010
51	11829
52	15251
53	15274
54	19050
55	13080
56	16571
57	18750
58	17414
59	15690
60	18448
61	15910
62	10870
63	24312
64	24513
65	13678
66	16259
67	21361
68	19878
69	33312
70	30464
71	30610
72	14906
73	20071
74	25135
75	15637
76	19941
77	13864
78	12277
79	18868
80	15751
81	13222
82	15405
83	22448
84	17938
85	7814
86	44718
87	52157
88	20544
89	51969
90	66113
91	10079
92	13987
93	8292
94	13407
95	24756
96	13768
97	11980
98	25132
99	14584
100	13636
101	22138
102	16076
103	13385
104	18054
105	21145
106	11399
107	19188
108	14775
109	19389
110	11400
111	11310
112	8420
113	12769
114	19397
115	14251
116	17292
117	20171
118	15747
119	17960
120	18988
121	18991
122	15087
123	14404
124	17452
125	21333
126	19058
127	24380
128	29300
129	25785
130	17966
131	8449
132	20466
133	20132
134	10584
135	18777
136	14292
137	14456
138	28867
139	18378
140	10131
141	21974
142	25699
143	19055
144	8094
145	15263
146	12909
147	20309
148	23677
149	28360
150	16566
151	33715
152	20779
153	23274
154	29998
155	29880
156	12452
157	17283
158	21218
159	12166
160	25598
161	21145
162	17465
163	12744
164	13382
165	20864
166	18498
167	22255
